FileName,L/R,SampFreq,nPoints,duration,MaxAmp,rms,dB
T01+0-o2,L,44100,105840,       2.400,    0.6191,  0.0690,-20.2
T02-4-o3,L,44100,105840,       2.400,    0.4619,  0.0690,-20.2
T03-8-o2,L,44100,105840,       2.400,    0.4079,  0.0689,-20.2
T04-8-o2,L,44100,105840,       2.400,    0.4668,  0.0686,-20.3
T05-12-o2,L,44100,105840,       2.400,    0.4099,  0.0694,-20.2
T06-9-o3,L,44100,105840,       2.400,    0.4234,  0.0692,-20.2
T07-9-o3,L,44100,105840,       2.400,    0.4746,  0.0691,-20.2
T08-6-o3,L,44100,105840,       2.400,    0.4656,  0.0699,-20.1
T09-6-o2,L,44100,105840,       2.400,    0.5377,  0.0690,-20.2
T10-8-o2,L,44100,105840,       2.400,    0.4288,  0.0691,-20.2
T11-8-o3,L,44100,105840,       2.400,    0.4327,  0.0683,-20.3
T12-10-o1,L,44100,105840,       2.400,    0.4449,  0.0685,-20.3
T13-10-o1,L,44100,105840,       2.400,    0.4663,  0.0698,-20.1
T14-12-o1,L,44100,105840,       2.400,    0.4483,  0.0691,-20.2
T15-12-o3,L,44100,105840,       2.400,    0.4625,  0.0690,-20.2
T16-14-o3,L,44100,105840,       2.400,    0.4345,  0.0695,-20.2
T17-14-o2,L,44100,105840,       2.400,    0.4688,  0.0694,-20.2
T18-13-o1,L,44100,105840,       2.400,    0.4555,  0.0694,-20.2
T19-13-o1,L,44100,105840,       2.400,    0.4332,  0.0694,-20.2
T20-14-o1,L,44100,105840,       2.400,    0.4432,  0.0681,-20.3
T21-14-o3,L,44100,105840,       2.400,    0.5128,  0.0699,-20.1
T22-13-o1,L,44100,105840,       2.400,    0.5000,  0.0691,-20.2
T23-12-o1,L,44100,105840,       2.400,    0.4769,  0.0689,-20.2
T24-12-o3,L,44100,105840,       2.400,    0.3943,  0.0688,-20.2
T25-13-o3,L,44100,105840,       2.400,    0.4225,  0.0686,-20.3
